UltimateParentAccountID,ARR,UserCount_All,SessionCount_Amp,ResponseCount,ActionCount_ProjectsCreated,MUserCount_ProjectsCreated,Pageland_Count,AMRActions_UniqueUsers,TextIqConsumption_Events,TextIqConsumption_Uniques
0015000000nDT6dAAG,0,8944,169589,917041,3981,2082,618618,2258,39,2031
0015000001Agf9kAAB,0,925,20481,578277,228,82,117841,197,34,4567
0015000000fs3DAAAY,0,804,14314,60030,84,40,49576,76,14,807
0015000000iT3kpAAC,0,1756,123476,1163459,131,75,809902,272,1,1
00150000010MUhvAAG,0,1785,25129,268291,634,270,1258744,414,5,493
0015000000wNUU9AAO,0,2637,46937,132706,238,101,135138,223,39,10645
0015000000wLFf1AAG,0,3982,22452,76128,44,33,62045,53,3,169
00150000010MLr1AAG,0,1281,35964,49569,30,13,203493,199,0,0
00150000010M8E0AAK,0,156,1693,4874,40,15,8958,29,9,334
0015000000mQPkmAAG,0,1151,83495,264653,465,189,178743,264,1,1
0015000000esY29AAE,0,1131,10017,84118,150,81,30410,138,3,21
0015000000OIqtzAAD,0,10698,171863,883744,275,83,275135,158,9,561
0015000000nDU1ZAAW,0,1214,41902,170701,475,169,116817,289,27,1635
0012J00002QkoBjQAJ,0,4670,47155,207974,606,298,204821,694,10,528
0015000000wLFnFAAW,0,8758,154476,1027930,4397,1784,551600,2203,48,6255
0012J00002QMne0QAD,0,1299,20803,541209,158,67,76061,143,43,2075
0015000000wLFgmAAG,0,10871,150764,1036423,3604,1666,696306,3119,7,15
0015000000d534PAAQ,0,4893,52629,271576,75,47,98472,77,5,56
00150000010MYVKAA4,0,3109,22548,52511,235,72,87313,110,19,2099
0012J00002NGfSEQA1,0,1128,19086,896333,337,203,96686,325,7,42
0015000000qFsgmAAC,0,1979,14549,16099,81,37,72660,129,81,5600
0015000000qG4XhAAK,0,1379,16834,164852,342,198,83177,354,11,107
0015000000wx34ZAAQ,0,1331,20377,62318,104,46,1030901,70,25,1007
0015000000QTTQ5AAP,0,16722,262650,1419981,5788,3153,859363,3299,19,93
0015000000nDU3vAAG,0,2509,21816,78191,231,106,92657,262,22,1948
00150000010MHnxAAG,0,627,4418,42428,128,58,27747,81,6,446
00150000010MTKzAAO,0,90,537,21032,11,3,4838,21,0,0
0015000000PxFyuAAF,0,49322,752974,5113621,12370,7129,2518076,11488,51,367
